"sentiment","n","top_words"
"positive",780,"food love eat good healthy"
"trust",392,"food good don chocolate sweet"
"joy",387,"food love good delicious chocolate"
"anticipation",335,"good chocolate sweet festival time"
"negative",295,"cruelty competition cancer cheesecake lemon"
"fear",190,"compassion cruelty change watch cancer chicken"
"sadness",156,"cruelty cancer death feeling slaughter suffering"
"anger",154,"cruelty cancer death feeling hot slaughter"
"surprise",151,"good sweet festival cream gift"
"disgust",135,"cruelty cancer lemon death feeling slaughter suffering"
